"locus_tag" "ftype" "length_bp" "gene" "EC_number" "COG" "product" "ec"
"612" "BIGMCDDJ_00612" "CDS" 1518 "flgK" "" "COG1256" "Flagellar hook-associated protein 1" "0"
"613" "BIGMCDDJ_00613" "CDS" 915 "flgL" "" "COG1344" "Flagellar hook-associated protein 3" "0"
"627" "BIGMCDDJ_00627" "CDS" 768 "hcaB_2" "1.3.1.87" "" "3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase" "1"
"632" "BIGMCDDJ_00632" "CDS" 369 "dhaM-2" "2.7.1.121" "COG3412" "PEP-dependent dihydroxyacetone kinase 2, phosphoryl donor subunit DhaM" "2"
"641" "BIGMCDDJ_00641" "CDS" 2013 "mcpC" "" "COG0840" "Methyl-accepting chemotaxis protein McpC" "0"
"650" "BIGMCDDJ_00650" "CDS" 837 "" "" "" "IS3 family transposase ISHahy4" "0"
"673" "BIGMCDDJ_00673" "CDS" 549 "ada" "" "COG0350" "Bifunctional transcriptional activator/DNA repair enzyme Ada" "0"
"675" "BIGMCDDJ_00675" "CDS" 879 "hdfR_1" "" "" "HTH-type transcriptional regulator HdfR" "0"
"694" "BIGMCDDJ_00694" "CDS" 624 "mupP" "3.1.3.105" "COG0546" "N-acetylmuramic acid 6-phosphate phosphatase" "3"
"721" "BIGMCDDJ_00721" "CDS" 729 "hisA" "5.3.1.16" "COG0106" "1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase" "5"
"802" "BIGMCDDJ_00802" "CDS" 1473 "yfmT" "1.2.1.28" "COG1012" "Benzaldehyde dehydrogenase YfmT" "1"
"803" "BIGMCDDJ_00803" "CDS" 1098 "xylB_2" "1.1.1.90" "" "Aryl-alcohol dehydrogenase" "1"
"813" "BIGMCDDJ_00813" "CDS" 1215 "cntE" "" "" "Staphylopine export protein" "0"
"838" "BIGMCDDJ_00838" "CDS" 1425 "sir" "1.8.7.1" "COG0155" "Sulfite reductase [ferredoxin]" "1"
"849" "BIGMCDDJ_00849" "CDS" 792 "amj" "" "" "Lipid II flippase Amj" "0"
"873" "BIGMCDDJ_00873" "CDS" 1221 "kinA" "2.7.13.3" "COG0642" "Sporulation kinase A" "2"
"875" "BIGMCDDJ_00875" "CDS" 840 "coxM" "1.2.5.3" "" "Carbon monoxide dehydrogenase medium chain" "1"
"930" "BIGMCDDJ_00930" "CDS" 699 "sphR" "" "COG0745" "Alkaline phosphatase synthesis transcriptional regulatory protein SphR" "0"
"983" "BIGMCDDJ_00983" "CDS" 591 "bioY" "" "COG1268" "Biotin transporter BioY" "0"
"993" "BIGMCDDJ_00993" "CDS" 624 "srtD" "3.4.22.-" "COG3764" "Sortase D" "3"
"1039" "BIGMCDDJ_01039" "CDS" 999 "tgnB" "1.14.14.-" "COG2141" "Flavin-dependent trigonelline monooxygenase, oxygenase component" "1"
"1042" "BIGMCDDJ_01042" "CDS" 417 "perR_1" "" "COG0735" "Peroxide-responsive repressor PerR" "0"
"1075" "BIGMCDDJ_01075" "CDS" 1359 "icaA" "2.4.1.-" "COG1215" "Poly-beta-1,6-N-acetyl-D-glucosamine synthase" "2"
"1132" "BIGMCDDJ_01132" "CDS" 378 "cph2" "" "" "Phytochrome-like protein cph2" "0"
"1141" "BIGMCDDJ_01141" "CDS" 1179 "yegT_1" "" "" "Putative nucleoside transporter YegT" "0"
"1198" "BIGMCDDJ_01198" "CDS" 852 "" "" "" "IS3 family transposase ISBce14" "0"
"1258" "BIGMCDDJ_01258" "CDS" 765 "aviRb" "2.1.1.208" "" "23S rRNA (uridine(2479)-2'-O)-methyltransferase" "2"
"1273" "BIGMCDDJ_01273" "CDS" 585 "pspA" "3.1.3.3" "COG0406" "Phosphoserine phosphatase 1" "3"
"1291" "BIGMCDDJ_01291" "CDS" 519 "" "3.1.4.-" "" "Putative metallophosphoesterase MG207 " "3"
"1302" "BIGMCDDJ_01302" "CDS" 591 "leuD1" "4.2.1.33" "COG0066" "3-isopropylmalate dehydratase small subunit 1" "4"
"1321" "BIGMCDDJ_01321" "CDS" 876 "rimK" "6.3.2.-" "COG0189" "Ribosomal protein S6--L-glutamate ligase" "6"
"1340" "BIGMCDDJ_01340" "CDS" 543 "spo0B" "2.7.-.-" "" "Sporulation initiation phosphotransferase B" "2"
"1372" "BIGMCDDJ_01372" "CDS" 1335 "" "" "COG2256" "putative AAA domain-containing protein" "0"
"1382" "BIGMCDDJ_01382" "CDS" 1128 "" "" "COG0628" "Putative transport protein" "0"
"1418" "BIGMCDDJ_01418" "CDS" 1065 "drdI" "5.3.1.-" "" "5-deoxyribose 1-phosphate isomerase" "5"
"1448" "BIGMCDDJ_01448" "CDS" 555 "cotX_1" "" "" "Spore coat protein X" "0"
"1450" "BIGMCDDJ_01450" "CDS" 468 "rpoS" "" "" "RNA polymerase sigma factor RpoS" "0"
"1453" "BIGMCDDJ_01453" "CDS" 1122 "glxK_1" "2.7.1.31" "COG1929" "Glycerate 3-kinase" "2"
"1454" "BIGMCDDJ_01454" "CDS" 867 "ramA_1" "3.5.1.100" "" "(R)-stereoselective amidase" "3"
"1458" "BIGMCDDJ_01458" "CDS" 1020 "fruA_1" "" "COG1299" "PTS system fructose-specific EIIB'BC component" "0"
"1460" "BIGMCDDJ_01460" "CDS" 1980 "licR" "" "COG1762" "putative licABCH operon regulator" "0"
"1462" "BIGMCDDJ_01462" "CDS" 1143 "" "" "" "IS21 family transposase ISPpu7" "0"
"1463" "BIGMCDDJ_01463" "CDS" 750 "" "" "" "IS21 family transposase ISPre4" "0"
"1471" "BIGMCDDJ_01471" "CDS" 492 "cotX_2" "" "" "Spore coat protein X" "0"
"1473" "BIGMCDDJ_01473" "CDS" 636 "" "2.7.1.-" "" "Chloramphenicol 3-O phosphotransferase" "2"
"1482" "BIGMCDDJ_01482" "CDS" 741 "map_1" "3.4.11.18" "" "Methionine aminopeptidase" "3"
"1534" "BIGMCDDJ_01534" "CDS" 594 "" "" "" "IS110 family transposase IS650" "0"
"1535" "BIGMCDDJ_01535" "CDS" 597 "" "" "" "IS110 family transposase ISCsa4" "0"
"1544" "BIGMCDDJ_01544" "CDS" 804 "fpuD_1" "7.2.2.-" "COG1120" "Petrobactin import ATP-binding protein FpuD" "7"
"1549" "BIGMCDDJ_01549" "CDS" 717 "" "1.1.1.119" "COG1028" "Glucose 1-dehydrogenase" "1"
"1562" "BIGMCDDJ_01562" "CDS" 1032 "iolX_2" "1.1.1.370" "COG0673" "scyllo-inositol 2-dehydrogenase (NAD(+))" "1"
"1564" "BIGMCDDJ_01564" "CDS" 768 "iolO_1" "5.1.3.-" "COG1082" "5-keto-L-gluconate epimerase" "5"
"1568" "BIGMCDDJ_01568" "CDS" 1698 "ycjM" "2.4.1.352" "COG0366" "Glucosylglycerate phosphorylase" "2"
"1570" "BIGMCDDJ_01570" "CDS" 906 "ycjO" "" "COG1175" "Inner membrane ABC transporter permease protein YcjO" "0"
"1573" "BIGMCDDJ_01573" "CDS" 795 "iolO_2" "5.1.3.-" "COG1082" "5-keto-L-gluconate epimerase" "5"
"1574" "BIGMCDDJ_01574" "CDS" 1038 "rifL" "1.1.1.-" "" "Putative UDP-kanosamine synthase oxidoreductase subunit" "1"
"1575" "BIGMCDDJ_01575" "CDS" 2247 "ycjT" "2.4.1.230" "COG1554" "Kojibiose phosphorylase" "2"
"1576" "BIGMCDDJ_01576" "CDS" 1134 "glxK_2" "2.7.1.31" "COG1929" "Glycerate 3-kinase" "2"
"1577" "BIGMCDDJ_01577" "CDS" 699 "ycjU" "5.4.2.6" "COG0637" "Beta-phosphoglucomutase" "5"
"1582" "BIGMCDDJ_01582" "CDS" 261 "gvpA_1" "" "" "Gas vesicle structural protein" "0"
"1590" "BIGMCDDJ_01590" "CDS" 315 "gvpA_2" "" "" "Gas vesicle structural protein" "0"
"1616" "BIGMCDDJ_01616" "CDS" 933 "kbaY" "4.1.2.40" "" "D-tagatose-1,6-bisphosphate aldolase subunit KbaY" "4"
"1618" "BIGMCDDJ_01618" "CDS" 666 "otnC" "4.1.1.104" "COG0235" "3-oxo-tetronate 4-phosphate decarboxylase" "4"
"1619" "BIGMCDDJ_01619" "CDS" 1272 "otnK" "2.7.1.217" "COG3395" "3-oxo-tetronate kinase" "2"
"1620" "BIGMCDDJ_01620" "CDS" 645 "gmhA" "5.3.1.28" "COG0279" "Phosphoheptose isomerase" "5"
"1643" "BIGMCDDJ_01643" "CDS" 1167 "agaS" "3.5.99.-" "COG2222" "Putative D-galactosamine-6-phosphate deaminase AgaS" "3"
"1646" "BIGMCDDJ_01646" "CDS" 1017 "lacD" "4.1.2.40" "" "Tagatose 1,6-diphosphate aldolase" "4"
"1647" "BIGMCDDJ_01647" "CDS" 1221 "hipO" "3.5.1.32" "COG1473" "Hippurate hydrolase" "3"
"1663" "BIGMCDDJ_01663" "CDS" 249 "cmdD" "" "" "Chondramide synthase cmdD" "0"
"1667" "BIGMCDDJ_01667" "CDS" 1485 "atoC" "" "COG2204" "Regulatory protein AtoC" "0"
"1669" "BIGMCDDJ_01669" "CDS" 654 "ahpD_1" "1.11.1.15" "" "Alkyl hydroperoxide reductase AhpD" "1"
"1689" "BIGMCDDJ_01689" "CDS" 792 "bioW" "6.2.1.14" "COG1424" "6-carboxyhexanoate--CoA ligase" "6"
"1690" "BIGMCDDJ_01690" "CDS" 117 "bioK_1" "2.6.1.105" "COG0161" "L-Lysine--8-amino-7-oxononanoate transaminase" "2"
"1691" "BIGMCDDJ_01691" "CDS" 534 "bioK_2" "2.6.1.105" "COG0161" "L-Lysine--8-amino-7-oxononanoate transaminase" "2"
"1692" "BIGMCDDJ_01692" "CDS" 1176 "bioF" "2.3.1.47" "COG0156" "8-amino-7-oxononanoate synthase 2" "2"
"1694" "BIGMCDDJ_01694" "CDS" 1428 "" "1.2.1.97" "" "3-sulfolactaldehyde dehydrogenase" "1"
"1709" "BIGMCDDJ_01709" "CDS" 750 "umuC" "" "COG0389" "Protein UmuC" "0"
"1718" "BIGMCDDJ_01718" "CDS" 1635 "yhcR_1" "3.1.31.-" "COG0737" "Endonuclease YhcR" "3"
"1741" "BIGMCDDJ_01741" "CDS" 1179 "gbsB" "1.1.1.-" "COG1454" "Choline dehydrogenase" "1"
"1744" "BIGMCDDJ_01744" "CDS" 789 "" "4.2.1.150" "COG1024" "Crotonyl-CoA hydratase" "4"
"1801" "BIGMCDDJ_01801" "CDS" 360 "ysnF" "" "" "Stress response protein YsnF" "0"
"1807" "BIGMCDDJ_01807" "CDS" 822 "ngcG_1" "" "COG0395" "Diacetylchitobiose uptake system permease protein NgcG" "0"
"1812" "BIGMCDDJ_01812" "CDS" 981 "alsB" "" "COG1879" "D-allose-binding periplasmic protein" "0"
"1825" "BIGMCDDJ_01825" "CDS" 543 "gmhB" "3.1.3.83" "" "D-glycero-alpha-D-manno-heptose-1,7-bisphosphate 7-phosphatase" "3"
"1874" "BIGMCDDJ_01874" "CDS" 750 "srlR_2" "" "COG1349" "Glucitol operon repressor" "0"
"1913" "BIGMCDDJ_01913" "CDS" 1368 "" "2.6.1.-" "COG0161" "putative aminotransferase" "2"
"1918" "BIGMCDDJ_01918" "CDS" 846 "yciV" "3.1.13.-" "COG0613" "5'-3' exoribonuclease" "3"
"1919" "BIGMCDDJ_01919" "CDS" 831 "sseB" "2.8.1.1" "COG2897" "Putative thiosulfate sulfurtransferase SseB" "2"
"1947" "BIGMCDDJ_01947" "tRNA" 97 "" "" "" "tRNA-SeC(tca)" "0"
"1967" "BIGMCDDJ_01967" "CDS" 1014 "wecH" "2.3.1.-" "COG3274" "O-acetyltransferase WecH" "2"
"1991" "BIGMCDDJ_01991" "CDS" 1530 "cotA_1" "" "COG2132" "Spore coat protein A" "0"
"2069" "BIGMCDDJ_02069" "CDS" 642 "cheC" "3.-.-.-" "COG1776" "CheY-P phosphatase CheC" "3"
"2148" "BIGMCDDJ_02148" "CDS" 1206 "undec1A" "4.1.1.-" "" "Cysteine/Cysteine sulfinic acid decarboxylase" "4"
"2199" "BIGMCDDJ_02199" "CDS" 1542 "accD5" "6.4.1.3" "COG4799" "putative propionyl-CoA carboxylase beta chain 5" "6"
"2273" "BIGMCDDJ_02273" "CDS" 750 "gdhIV" "1.1.1.47" "COG1028" "Glucose 1-dehydrogenase 4" "1"
"2312" "BIGMCDDJ_02312" "CDS" 498 "cotX_3" "" "" "Spore coat protein X" "0"
"2318" "BIGMCDDJ_02318" "CDS" 711 "wfaP" "2.4.1.305" "" "UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfaP" "2"
"2363" "BIGMCDDJ_02363" "CDS" 903 "fcf1" "1.1.1.266" "" "dTDP-4-dehydro-6-deoxyglucose reductase" "1"
"2378" "BIGMCDDJ_02378" "CDS" 237 "moaD" "" "COG1977" "Molybdopterin synthase sulfur carrier subunit" "0"
"2399" "BIGMCDDJ_02399" "CDS" 843 "malG" "" "COG3833" "Maltose/maltodextrin transport system permease protein MalG" "0"
"2424" "BIGMCDDJ_02424" "CDS" 1176 "sbcD" "" "COG0420" "Nuclease SbcCD subunit D" "0"
"2427" "BIGMCDDJ_02427" "CDS" 462 "pleD" "" "" "Response regulator PleD" "0"
"2449" "BIGMCDDJ_02449" "CDS" 306 "comFB" "" "" "ComF operon protein 2" "0"
"2469" "BIGMCDDJ_02469" "CDS" 819 "fpuD_2" "7.2.2.-" "COG1120" "Petrobactin import ATP-binding protein FpuD" "7"
"2478" "BIGMCDDJ_02478" "CDS" 2265 "nrdE2" "1.17.4.1" "COG0209" "Ribonucleoside-diphosphate reductase subunit alpha 2" "1"
"2523" "BIGMCDDJ_02523" "CDS" 1743 "cocE" "3.1.1.84" "" "Cocaine esterase" "3"
"2539" "BIGMCDDJ_02539" "CDS" 837 "fba_1" "4.1.2.13" "" "Fructose-bisphosphate aldolase" "4"
"2549" "BIGMCDDJ_02549" "CDS" 993 "" "1.1.1.384" "" "dTDP-3,4-didehydro-2,6-dideoxy-alpha-D-glucose 3-reductase" "1"
"2550" "BIGMCDDJ_02550" "CDS" 1095 "iolX_3" "1.1.1.370" "COG0673" "scyllo-inositol 2-dehydrogenase (NAD(+))" "1"
"2552" "BIGMCDDJ_02552" "CDS" 477 "lcdH_1" "1.1.1.108" "" "L-carnitine dehydrogenase" "1"
"2553" "BIGMCDDJ_02553" "CDS" 957 "lcdH_2" "1.1.1.108" "" "L-carnitine dehydrogenase" "1"
"2554" "BIGMCDDJ_02554" "CDS" 888 "kce" "2.3.1.247" "COG3246" "3-keto-5-aminohexanoate cleavage enzyme" "2"
"2556" "BIGMCDDJ_02556" "CDS" 1158 "opuCA" "" "COG1125" "Glycine betaine/carnitine/choline transport ATP-binding protein OpuCA" "0"
"2557" "BIGMCDDJ_02557" "CDS" 654 "opuCB" "" "COG1174" "Glycine betaine/carnitine/choline transport system permease protein OpuCB" "0"
"2558" "BIGMCDDJ_02558" "CDS" 915 "opuCC" "" "COG1732" "Glycine betaine/carnitine/choline-binding protein OpuCC" "0"
"2559" "BIGMCDDJ_02559" "CDS" 684 "opuCD" "" "COG1174" "Glycine betaine/carnitine/choline transport system permease protein OpuCD" "0"
"2567" "BIGMCDDJ_02567" "CDS" 1311 "ywdJ" "" "COG2233" "Putative purine permease YwdJ" "0"
"2588" "BIGMCDDJ_02588" "CDS" 279 "ccmL" "" "" "Carbon dioxide concentrating mechanism protein CcmL" "0"
"2600" "BIGMCDDJ_02600" "CDS" 546 "mobA_1" "2.7.7.77" "" "Molybdenum cofactor guanylyltransferase" "2"
"2620" "BIGMCDDJ_02620" "CDS" 243 "" "" "" "IS3 family transposase ISBsp2" "0"
"2631" "BIGMCDDJ_02631" "CDS" 693 "thiQ" "3.6.3.-" "COG3840" "Thiamine import ATP-binding protein ThiQ" "3"
"2648" "BIGMCDDJ_02648" "CDS" 1161 "rssB" "" "" "Regulator of RpoS" "0"
"2659" "BIGMCDDJ_02659" "CDS" 414 "epi" "5.1.99.-" "COG0346" "Ethylmalonyl-CoA/methylmalonyl-CoA epimerase" "5"
"2670" "BIGMCDDJ_02670" "CDS" 867 "mmsB" "1.1.1.31" "COG2084" "3-hydroxyisobutyrate dehydrogenase" "1"
"2680" "BIGMCDDJ_02680" "CDS" 459 "nucB" "3.-.-.-" "" "Sporulation-specific extracellular nuclease" "3"
"2681" "BIGMCDDJ_02681" "CDS" 396 "nin" "" "" "DNA-entry nuclease inhibitor" "0"
"2689" "BIGMCDDJ_02689" "CDS" 963 "rbsR_1" "" "COG1609" "Ribose operon repressor" "0"
"2705" "BIGMCDDJ_02705" "CDS" 1056 "lsrB" "" "" "Autoinducer 2-binding protein LsrB" "0"
"2706" "BIGMCDDJ_02706" "CDS" 1002 "lsrD" "" "" "Autoinducer 2 import system permease protein LsrD" "0"
"2707" "BIGMCDDJ_02707" "CDS" 1041 "lsrC" "" "COG1172" "Autoinducer 2 import system permease protein LsrC" "0"
"2708" "BIGMCDDJ_02708" "CDS" 1509 "lsrA" "3.6.3.-" "COG1129" "Autoinducer 2 import ATP-binding protein LsrA" "3"
"2709" "BIGMCDDJ_02709" "CDS" 963 "lsrR" "" "COG2390" "Transcriptional regulator LsrR" "0"
"2710" "BIGMCDDJ_02710" "CDS" 1563 "lsrK" "2.7.1.189" "COG1070" "Autoinducer-2 kinase" "2"
"2712" "BIGMCDDJ_02712" "CDS" 795 "lsrF" "2.3.1.245" "COG1830" "3-hydroxy-5-phosphonooxypentane-2,4-dione thiolase" "2"
"2742" "BIGMCDDJ_02742" "CDS" 1152 "gerN" "" "COG0475" "Na(+)/H(+)-K(+) antiporter GerN" "0"
"2750" "BIGMCDDJ_02750" "CDS" 1251 "phoA" "3.1.3.1" "COG1785" "Alkaline phosphatase 4" "3"
"2770" "BIGMCDDJ_02770" "CDS" 1029 "pbpX" "" "COG1680" "Putative penicillin-binding protein PbpX" "0"
"2816" "BIGMCDDJ_02816" "CDS" 810 "iolN_1" "3.7.1.-" "COG1402" "3-dehydro-scyllo-inosose hydrolase" "3"
"2823" "BIGMCDDJ_02823" "CDS" 1500 "cotA_2" "" "COG2132" "Spore coat protein A" "0"
"2834" "BIGMCDDJ_02834" "CDS" 540 "" "" "" "IS1595 family transposase ISCac2" "0"
"2840" "BIGMCDDJ_02840" "CDS" 723 "bioD1" "6.3.3.3" "COG0132" "ATP-dependent dethiobiotin synthetase BioD 1" "6"
"2841" "BIGMCDDJ_02841" "CDS" 1377 "bioK_3" "2.6.1.105" "COG0161" "L-Lysine--8-amino-7-oxononanoate transaminase" "2"
"2867" "BIGMCDDJ_02867" "CDS" 846 "dauP" "3.1.1.-" "" "Rhodomycin D methylesterase DauP" "3"
"2886" "BIGMCDDJ_02886" "CDS" 381 "bmrA" "3.6.3.-" "COG1132" "Multidrug resistance ABC transporter ATP-binding/permease protein BmrA" "3"
"2899" "BIGMCDDJ_02899" "CDS" 330 "" "" "COG0640" "HTH-type transcriptional regulator" "0"
"2952" "BIGMCDDJ_02952" "CDS" 915 "yodJ" "3.4.-.-" "COG1876" "Putative carboxypeptidase YodJ" "3"
"2956" "BIGMCDDJ_02956" "CDS" 1437 "APOA1BP" "5.1.99.6" "" "NAD(P)H-hydrate epimerase" "5"
"2962" "BIGMCDDJ_02962" "CDS" 573 "mdtG" "" "" "Multidrug resistance protein MdtG" "0"
"2963" "BIGMCDDJ_02963" "CDS" 1446 "xyoA" "1.1.3.41" "COG0277" "putative xylitol oxidase" "1"
"2981" "BIGMCDDJ_02981" "CDS" 624 "ypmQ" "" "COG1999" "SCO1 protein " "0"
"3012" "BIGMCDDJ_03012" "CDS" 1620 "yhcR_2" "3.1.31.-" "COG0737" "Endonuclease YhcR" "3"
"3030" "BIGMCDDJ_03030" "CDS" 435 "dps2" "1.16.-.-" "COG0783" "DNA protection during starvation protein 2" "1"
"3035" "BIGMCDDJ_03035" "CDS" 1284 "ugpB" "" "COG1653" "sn-glycerol-3-phosphate-binding periplasmic protein UgpB" "0"
"3038" "BIGMCDDJ_03038" "CDS" 1044 "malK" "7.5.2.1" "COG3839" "Maltose/maltodextrin import ATP-binding protein MalK" "7"
"3058" "BIGMCDDJ_03058" "CDS" 972 "ghrA" "1.1.1.81" "" "Glyoxylate/hydroxypyruvate reductase A" "1"
"3091" "BIGMCDDJ_03091" "CDS" 1224 "kanB" "2.6.1.100" "" "L-glutamine:2-deoxy-scyllo-inosose aminotransferase" "2"
"3092" "BIGMCDDJ_03092" "CDS" 1275 "arnB" "2.6.1.87" "" "UDP-4-amino-4-deoxy-L-arabinose--oxoglutarate aminotransferase" "2"
"3096" "BIGMCDDJ_03096" "CDS" 1122 "" "5.1.1.-" "COG4948" "N-succinyl-L-Arg/Lys racemase" "5"
"3098" "BIGMCDDJ_03098" "CDS" 951 "axeA" "3.1.1.41" "COG3458" "Cephalosporin-C deacetylase" "3"
"3102" "BIGMCDDJ_03102" "CDS" 771 "gamA" "3.5.99.6" "COG0363" "putative glucosamine-6-phosphate deaminase 2" "3"
"3122" "BIGMCDDJ_03122" "CDS" 1158 "pcaF" "2.3.1.174" "COG0183" "Beta-ketoadipyl-CoA thiolase" "2"
"3124" "BIGMCDDJ_03124" "CDS" 1881 "" "6.2.1.3" "COG1022" "Long-chain-fatty-acid--CoA ligase FadD15" "6"
"3126" "BIGMCDDJ_03126" "CDS" 1227 "bcd_1" "1.3.8.1" "COG1960" "Acyl-CoA dehydrogenase, short-chain specific" "1"
"3128" "BIGMCDDJ_03128" "CDS" 1248 "" "3.1.1.3" "" "Lipase" "3"
"3129" "BIGMCDDJ_03129" "CDS" 1554 "ald_3" "1.2.99.10" "" "4,4'-diapolycopene aldehyde oxidase" "1"
"3136" "BIGMCDDJ_03136" "CDS" 717 "" "2.7.7.-" "COG1213" "CTP:phosphoglutamine cytidylyltransferase" "2"
"3137" "BIGMCDDJ_03137" "CDS" 1002 "cotI" "" "" "Spore coat protein I" "0"
"3177" "BIGMCDDJ_03177" "CDS" 687 "caiE" "" "" "Carnitine operon protein CaiE" "0"
"3189" "BIGMCDDJ_03189" "CDS" 1464 "malX" "" "COG2182" "Maltose/maltodextrin-binding protein" "0"
"3272" "BIGMCDDJ_03272" "CDS" 657 "ypfA" "" "COG5581" "putative protein YpfA" "0"
"3288" "BIGMCDDJ_03288" "CDS" 1563 "deaD" "3.6.4.13" "" "ATP-dependent RNA helicase DeaD" "3"
"3297" "BIGMCDDJ_03297" "CDS" 1506 "ccsB" "" "" "Cytochrome c biogenesis protein CcsB" "0"
"3331" "BIGMCDDJ_03331" "CDS" 543 "act" "3.-.-.-" "" "Methanol dehydrogenase activator" "3"
"3421" "BIGMCDDJ_03421" "CDS" 306 "comGC" "" "COG4537" "ComG operon protein 3" "0"
"3482" "BIGMCDDJ_03482" "CDS" 945 "ispH" "1.17.7.4" "COG0761" "4-hydroxy-3-methylbut-2-enyl diphosphate reductase" "1"
"3487" "BIGMCDDJ_03487" "CDS" 1140 "bcd_2" "1.3.8.1" "COG1960" "Acyl-CoA dehydrogenase, short-chain specific" "1"
"3542" "BIGMCDDJ_03542" "CDS" 378 "sigK" "" "COG1191" "RNA polymerase sigma-K factor" "0"
"3608" "BIGMCDDJ_03608" "CDS" 261 "hdfR_2" "" "" "HTH-type transcriptional regulator HdfR" "0"
"3625" "BIGMCDDJ_03625" "CDS" 1218 "fokIM" "2.1.1.72" "" "Modification methylase FokI" "2"
"3645" "BIGMCDDJ_03645" "CDS" 882 "qorB" "1.6.5.2" "COG0702" "Quinone oxidoreductase 2" "1"
"3694" "BIGMCDDJ_03694" "CDS" 408 "yxeE" "" "" "putative protein YxeE" "0"
"3742" "BIGMCDDJ_03742" "CDS" 1233 "rocG" "1.4.1.2" "COG0334" "Catabolic NAD-specific glutamate dehydrogenase RocG" "1"
"3760" "BIGMCDDJ_03760" "CDS" 1293 "" "" "" "IS1182 family transposase ISBpu1" "0"
"3767" "BIGMCDDJ_03767" "CDS" 966 "yeaX" "1.14.13.239" "COG1018" "Carnitine monooxygenase reductase subunit" "1"
"3827" "BIGMCDDJ_03827" "CDS" 867 "" "" "" "IS3 family transposase ISHahy4" "0"
"3838" "BIGMCDDJ_03838" "CDS" 813 "ydjP" "3.-.-.-" "COG0596" "AB hydrolase superfamily protein YdjP" "3"
